name,waitingTime,runningTime,rngTime
SR04,6630,27532,0
SHA256,34200,158,31647
BMP180,995080,3932,0
SR04,971218,27549,0
SHA256,998616,31,31479
BMP180,996016,3873,0
SR04,972268,27523,0
SHA256,999678,26,31426
BMP180,996043,3853,0
SR04,972335,27549,0
SHA256,999774,22,31439
BMP180,996054,3842,0
SR04,972319,27524,0
SHA256,999734,22,31414
BMP180,996054,3842,0
SR04,972344,27550,0
SHA256,999784,23,31440
BMP180,996054,3842,0
SR04,972318,27549,0
SHA256,999758,22,31439
BMP180,996054,3842,0
SR04,972319,27525,0
SHA256,999735,22,31415
BMP180,996054,3842,0
SR04,972343,27524,0
SHA256,999758,22,31414
BMP180,996054,3842,0
SR04,972344,27525,0
SHA256,999759,23,31415
BMP180,996054,3842,0
SR04,972343,27525,0
SHA256,999758,23,31415
BMP180,996054,3842,0
SR04,972344,27525,0
SHA256,999758,23,31415
BMP180,996054,3842,0
SR04,972343,27549,0
SHA256,999782,23,31439
BMP180,996054,3842,0
SR04,972319,27550,0
SHA256,999759,23,31440
BMP180,996054,3842,0
SR04,972318,27573,0
SHA256,999782,22,31463
BMP180,996054,3842,0
SR04,972295,27549,0
SHA256,999734,23,31439
BMP180,996054,3842,0
SR04,972320,27549,0
SHA256,999758,23,31439
BMP180,996054,3842,0
SR04,972319,27549,0
SHA256,999758,23,31439
BMP180,996054,3842,0
SR04,972319,27525,0
SHA256,999734,23,31415
BMP180,996054,3842,0
SR04,972342,27549,0
SHA256,999782,22,31438
BMP180,996054,3842,0
SR04,972320,27525,0
SHA256,999735,23,31415
BMP180,996054,3842,0
SR04,972342,27524,0
SHA256,999757,22,31413
BMP180,996054,3842,0
SR04,972345,27524,0
SHA256,999760,22,31414
BMP180,996054,3842,0
SR04,972343,27525,0
SHA256,999758,23,31414
BMP180,996054,3842,0
SR04,972343,27501,0
SHA256,999734,23,31390
BMP180,996054,3842,0
SR04,972367,27500,0
SHA256,999758,22,31389
BMP180,996054,3842,0
SR04,972368,27525,0
SHA256,999784,22,31414
BMP180,996054,3842,0
SR04,972343,27525,0
SHA256,999759,22,31414
BMP180,996054,3842,0
SR04,972343,27524,0
SHA256,999758,22,31413
BMP180,996054,3842,0
SR04,972344,27525,0
SHA256,999760,22,31414
BMP180,996054,3842,0
SR04,972343,27524,0
SHA256,999758,22,31413
BMP180,996054,3842,0
SR04,972344,27526,0
SHA256,999760,23,31415
BMP180,996054,3842,0
SR04,972343,27524,0
SHA256,999757,22,31413
BMP180,996054,3842,0
SR04,972344,27500,0
SHA256,999734,23,31389
BMP180,996054,3842,0
SR04,972368,27500,0
SHA256,999759,22,31389
BMP180,996054,3842,0
SR04,972368,27524,0
SHA256,999783,22,31413
BMP180,996054,3842,0
SR04,972344,27524,0
SHA256,999759,22,31413
BMP180,996054,3842,0
SR04,972344,27525,0
SHA256,999760,22,31414
