name,waitingTime,runningTime,scalerValue
SR04,3968,1889,2
SHA256,30923,82,2
BMP180,495891,3875,2
SR04,497746,1878,2
SHA256,499634,12,2
BMP180,495959,3848,2
SR04,497917,1845,2
SHA256,499776,12,2
BMP180,495979,3829,2
SR04,497970,1850,2
SHA256,499832,11,2
BMP180,495981,3827,2
SR04,497967,1899,2
SHA256,499879,11,2
BMP180,495981,3827,2
SR04,497918,1850,2
SHA256,499781,12,2
BMP180,495981,3827,2
SR04,497967,1875,2
SHA256,499854,11,2
BMP180,495981,3827,2
SR04,497942,1875,2
SHA256,499830,11,2
BMP180,495981,3827,2
SR04,497942,1874,2
SHA256,499829,12,2
BMP180,495981,3827,2
SR04,497943,1875,2
SHA256,499830,12,2
BMP180,495981,3827,2
SR04,497942,1875,2
SHA256,499829,11,2
BMP180,495981,3827,2
SR04,497942,1923,2
SHA256,499878,12,2
BMP180,495981,3827,2
SR04,497894,1875,2
SHA256,499781,11,2
BMP180,495981,3827,2
SR04,497942,1849,2
SHA256,499804,12,2
BMP180,495981,3827,2
SR04,497968,1850,2
SHA256,499829,12,2
BMP180,495981,3827,2
SR04,497967,1849,2
SHA256,499829,12,2
BMP180,495981,3827,2
SR04,497968,1875,2
SHA256,499855,11,2
BMP180,495981,3827,2
SR04,497942,1874,2
SHA256,499829,11,2
BMP180,495981,3827,2
SR04,497943,1875,2
SHA256,499831,11,2
BMP180,495981,3827,2
