name,waitTime,runningTime,rngTime
BMP180,7173,3881,0
SR04,11303,2548,0
SHA256,13887,108,6714
BMP180,248570,3838,0
SR04,249831,2527,0
SHA256,227148,15,6523
BMP180,246046,3820,0
SR04,247333,2528,0
SHA256,224704,15,6495
BMP180,246074,3819,0
SR04,247357,2503,0
SHA256,224706,15,6467
BMP180,246077,3819,0
SR04,247385,2504,0
SHA256,224735,15,6468
BMP180,246077,3819,0
SR04,247384,2504,0
SHA256,224734,15,6468
BMP180,246077,3819,0
SR04,247384,2505,0
SHA256,224735,15,6469
BMP180,246077,3819,0
SR04,247384,2528,0
SHA256,224757,15,6492
BMP180,246077,3819,0
SR04,247360,2503,0
SHA256,224709,15,6467
BMP180,246077,3819,0
SR04,247385,2503,0
SHA256,224734,15,6467
BMP180,246077,3819,0
SR04,247385,2504,0
SHA256,224735,15,6468
BMP180,246077,3819,0
SR04,247384,2503,0
SHA256,224733,15,6467
BMP180,246077,3819,0
SR04,247385,2503,0
SHA256,224734,15,6467
BMP180,246077,3819,0
SR04,247385,2505,0
SHA256,224736,15,6469
BMP180,246077,3819,0
SR04,247384,2503,0
SHA256,224732,15,6467
BMP180,246077,3819,0
SR04,247385,2529,0
SHA256,224760,15,6493
BMP180,246077,3819,0
SR04,247359,2528,0
SHA256,224733,15,6492
BMP180,246077,3819,0
SR04,247360,2528,0
SHA256,224734,15,6492
BMP180,246077,3819,0
SR04,247360,2529,0
SHA256,224735,15,6493
BMP180,246077,3819,0
SR04,247359,2529,0
SHA256,224734,15,6493
BMP180,246077,3819,0
SR04,247360,2529,0
SHA256,224734,15,6493
BMP180,246077,3819,0
SR04,247359,2552,0
SHA256,224757,15,6516
BMP180,246077,3819,0
SR04,247336,2553,0
SHA256,224735,15,6517
BMP180,246077,3819,0
SR04,247335,2529,0
SHA256,224709,16,6493
BMP180,246077,3819,0
SR04,247360,2528,0
SHA256,224733,15,6492
BMP180,246077,3819,0
SR04,247360,2552,0
SHA256,224757,15,6516
BMP180,246077,3819,0
SR04,247336,2528,0
SHA256,224710,15,6492
BMP180,246077,3819,0
SR04,247360,2528,0
SHA256,224734,15,6492
BMP180,246077,3819,0
SR04,247360,2528,0
SHA256,224734,15,6492
BMP180,246077,3819,0
SR04,247360,2529,0
SHA256,224735,15,6493
BMP180,246077,3819,0
SR04,247359,2529,0
SHA256,224733,16,6493
BMP180,246077,3819,0
SR04,247360,2528,0
SHA256,224733,15,6492
BMP180,246077,3819,0
SR04,247360,2529,0
SHA256,224735,15,6493
BMP180,246077,3819,0
SR04,247360,2528,0
SHA256,224733,15,6492
BMP180,246077,3819,0
SR04,247360,2528,0
SHA256,224734,15,6492
BMP180,246077,3819,0
SR04,247360,2504,0
SHA256,224710,15,6468
BMP180,246077,3819,0
SR04,247384,2529,0
SHA256,224758,16,6493
BMP180,246077,3819,0
