ame,waitTime,runningTime,rngTime
SR04,7256,2535,0
BMP180,9869,3871,0
SHA256,13862,135,6713
SR04,119939,2519,0
BMP180,118503,3842,0
SHA256,97114,22,6545
SR04,117351,2510,0
BMP180,115970,3819,0
SHA256,94639,26,6484
SR04,3997,2511,0
BMP180,2676,3820,0
SHA256,6389,17,3849
SR04,110790,2509,0
BMP180,116830,3816,0
SHA256,95495,18,13847
SR04,11369,2512,0
BMP180,2679,3823,0
SHA256,6390,23,3857
SR04,113412,2510,0
BMP180,119447,3816,0
SHA256,98112,18,13847
SR04,11368,2511,0
BMP180,2679,3822,0
SHA256,6390,22,3856
SR04,113412,2510,0
BMP180,119447,3816,0
SHA256,98112,18,13847
SR04,11369,2513,0
BMP180,2680,3823,0
SHA256,6391,22,3856
SR04,113411,2510,0
BMP180,119446,3816,0
SHA256,98111,18,13847
SR04,11368,2512,0
BMP180,2679,3823,0
SHA256,6390,23,3857
SR04,113412,2510,0
BMP180,119447,3816,0
SHA256,98112,18,13847
SR04,11368,2512,0
BMP180,2679,3823,0
SHA256,6390,23,3857
SR04,113412,2510,0
BMP180,119447,3816,0
SHA256,98112,18,13847
SR04,11368,2512,0
BMP180,2679,3823,0
SHA256,6390,22,3856
SR04,113412,2509,0
BMP180,119447,3816,0
SHA256,98112,18,13847
SR04,11369,2561,0
BMP180,2729,3822,0
SHA256,6440,22,3856
SR04,113362,2510,0
BMP180,119397,3816,0
SHA256,98062,18,13847
SR04,11368,2561,0
BMP180,2729,3822,0
SHA256,6440,22,3856
SR04,113363,2509,0
BMP180,119398,3816,0
SHA256,98062,18,13847
SR04,11369,2511,0
BMP180,2679,3822,0
SHA256,6390,22,3856
SR04,113412,2509,0
BMP180,119448,3816,0
SHA256,98112,18,13847
SR04,11369,2512,0
BMP180,2680,3822,0
SHA256,6391,22,3856
SR04,113412,2510,0
BMP180,119447,3816,0
SHA256,98111,18,13847
SR04,11368,2513,0
BMP180,2680,3823,0
SHA256,6391,22,3856
SR04,113411,2510,0
BMP180,119446,3816,0
SHA256,98111,18,13847
SR04,11368,2512,0
BMP180,2679,3823,0
SHA256,6390,22,3856
SR04,113412,2510,0
BMP180,119447,3816,0
SHA256,98112,18,13847
SR04,11369,2511,0
BMP180,2679,3822,0
SHA256,6390,22,3856
SR04,113412,2510,0
BMP180,119448,3816,0
SHA256,98112,18,13847
SR04,11369,2512,0
BMP180,2680,3822,0
SHA256,6391,22,3856
SR04,113411,2511,0
BMP180,119447,3816,0
SHA256,98111,18,13847
SR04,11368,2562,0
BMP180,2730,3822,0
SHA256,6441,22,3856
SR04,113361,2509,0
BMP180,119397,3816,0
SHA256,98061,18,13847
SR04,11369,2512,0
BMP180,2680,3822,0
SHA256,6391,22,3856
SR04,113411,2510,0
BMP180,119447,3816,0
SHA256,98111,18,13847
SR04,11368,2561,0
BMP180,2729,3822,0
SHA256,6440,22,3856
SR04,113363,2510,0
BMP180,119398,3816,0
SHA256,98062,18,13847
SR04,11368,2512,0
BMP180,2679,3823,0
SHA256,6390,23,3857
SR04,113412,2511,0
BMP180,119447,3816,0
SHA256,98112,18,13847
SR04,11368,2562,0
BMP180,2730,3822,0
SHA256,6441,22,3856
SR04,113361,2510,0
BMP180,119397,3816,0
SHA256,98061,18,13847
SR04,11368,2512,0
BMP180,2680,3822,0
SHA256,6391,22,3856
SR04,113411,2510,0
BMP180,119447,3816,0
SHA256,98111,18,13847
SR04,11368,2512,0
BMP180,2680,3822,0
SHA256,6391,22,3856
SR04,113412,2510,0
BMP180,119447,3816,0
SHA256,98111,18,13847
SR04,11369,2512,0
BMP180,2680,3822,0
SHA256,6391,22,3856
SR04,113411,2511,0
BMP180,119447,3816,0
SHA256,98111,18,13847
SR04,11367,2512,0
BMP180,2680,3823,0
SHA256,6391,22,3856
SR04,113411,2511,0
BMP180,119446,3816,0
SHA256,98111,18,13847
SR04,11368,2511,0
BMP180,2679,3822,0
SHA256,6390,22,3856
SR04,113412,2510,0
BMP180,119447,3816,0
SHA256,98112,18,13847
SR04,11368,2512,0
BMP180,2680,3822,0
SHA256,6391,22,3856
SR04,113411,2510,0
BMP180,119447,3816,0
SHA256,98111,18,13847
SR04,11369,2511,0
BMP180,2679,3822,0
SHA256,6390,22,3856
SR04,113412,2510,0
